start,end,prefix_start4,prefix_end4,service,raw
46250000,46299999,4625,4629,Unknown,Mobile Service 流動服務 SmarTone Mobile Communications Limited 數碼通電訊有限公司
46300000,46399999,4630,4639,Unknown,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
46400000,46409999,4640,4640,Unknown,Mobile Service 流動服務 China Telecom Global Limited 中國電信國際有限公司
46410000,46459999,4641,4645,Unknown,Mobile Service 流動服務 SmarTone Mobile Communications Limited 數碼通電訊有限公司
46460000,46469999,4646,4646,Unknown,✓ Mobile Service 流動服務 ** Reserved 預留
46470000,46479999,4647,4647,Unknown,Mobile Service 流動服務 Sun Mobile Limited 新移動通訊有限公司
46480000,46489999,4648,4648,Unknown,Mobile Service 流動服務 Multibyte Info Technology Limited 博元訊息科技有限公司
46490000,46499999,4649,4649,Unknown,Mobile Service 流動服務 CITIC Telecom International Limited中信國際電訊有限公司
46500000,46539999,4650,4653,Unknown,Mobile Service 流動服務 China Unicom (Hong Kong) Operations Limited 中國聯通(香港)運營有限公司
46540000,46589999,4654,4658,Unknown,Mobile Service 流動服務 Hong Kong Telecommunications (HKT) Limited
46590000,46599999,4659,4659,Unknown,Mobile Service 流動服務 Multibyte Info Technology Limited 博元訊息科技有限公司
46600000,46649999,4660,4664,Unknown,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
46650000,46669999,4665,4666,Unknown,Mobile Service 流動服務 China Telecom Global Limited 中國電信國際有限公司
46670000,46699999,4667,4669,Unknown,Mobile Service 流動服務 ** Spare - open for application 備用/供申請使用
46700000,46779999,4670,4677,Unknown,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
46780000,46789999,4678,4678,Unknown,Mobile Service 流動服務 Sun Mobile Limited 新移動通訊有限公司
46790000,46799999,4679,4679,Unknown,Mobile Service 流動服務 Sun Mobile Limited 新移動通訊有限公司
46800000,46899999,4680,4689,Unknown,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
46900000,46989999,4690,4698,Unknown,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
46990000,46999999,4699,4699,Unknown,Mobile Service 流動服務 South China Telecommunications (H.K.) Limited 中國南方電信(香港)有限公司
47000000,47099999,4700,4709,Unknown,Mobile Service 流動服務 Hutchison Telephone Company Limited 和記電話有限公司
47100000,47199999,4710,4719,Unknown,Mobile Service 流動服務 Hutchison Telephone Company Limited 和記電話有限公司
47200000,47259999,4720,4725,Unknown,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
47260000,47309999,4726,4730,Unknown,Mobile Service 流動服務 Hutchison Telephone Company Limited 和記電話有限公司
47310000,47349999,4731,4734,Unknown,Mobile Service 流動服務 SmarTone Mobile Communications Limited 數碼通電訊有限公司
47350000,47399999,4735,4739,Unknown,Mobile Service 流動服務 SmarTone Mobile Communications Limited 數碼通電訊有限公司
47400000,47429999,4740,4742,Unknown,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
47430000,47449999,4743,4744,Unknown,Mobile Service 流動服務 China Telecom Global Limited 中國電信國際有限公司
47450000,47469999,4745,4746,Unknown,Mobile Service 流動服務 ** Spare - open for application 備用/供申請使用
47470000,47479999,4747,4747,Unknown,✓ Mobile Service 流動服務 ** Reserved 預留
47480000,47489999,4748,4748,Unknown,Mobile Service 流動服務 China Telecom Global Limited 中國電信國際有限公司
47490000,47499999,4749,4749,Unknown,Mobile Service 流動服務 ** Spare - open for application 備用/供申請使用
47500000,47599999,4750,4759,Unknown,Mobile Service 流動服務 Hutchison Telephone Company Limited 和記電話有限公司
47600000,47659999,4760,4765,Unknown,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
47660000,47999999,4766,4799,Unknown,Mobile Service 流動服務 ** Spare - open for application 備用/供申請使用
48100000,48199999,4810,4819,Unknown,Mobile Service 流動服務 ** Spare 備用
48210000,48299999,4821,4829,Unknown,Mobile Service 流動服務 ** Spare 備用
48600000,48699999,4860,4869,Unknown,Mobile Service 流動服務 ** Spare 備用
48900000,48999999,4890,4899,Unknown,Mobile Service 流動服務 ** Spare 備用
49230000,49299999,4923,4929,Unknown,Mobile Service 流動服務 ** Spare 備用
49520000,49599999,4952,4959,Unknown,Mobile Service 流動服務 ** Spare 備用
49800000,49899999,4980,4989,Unknown,Mobile Service 流動服務 ** Spare 備用
52300000,52339999,5230,5233,Unknown,Mobile Service 流動服務 Hong Kong Telecommunications (HKT) Limited
52340000,52359999,5234,5235,Unknown,Mobile Service 流動服務 ** Spare - open for application 備用/供申請使用 Containing Ported Number
52360000,52379999,5236,5237,Unknown,Mobile Service 流動服務 SmarTone Mobile Communications Limited 數碼通電訊有限公司
52380000,52399999,5238,5239,Unknown,Mobile Service 流動服務 SmarTone Mobile Communications Limited 數碼通電訊有限公司
52400000,52499999,5240,5249,Unknown,Mobile Service 流動服務 Hong Kong Telecommunications (HKT) Limited
52500000,52519999,5250,5251,Unknown,Mobile Service 流動服務 ** Spare - open for application 備用/供申請使用
52520000,52529999,5252,5252,Unknown,✓ Mobile Service 流動服務 ** Reserved 預留
